name,description,preparation_time,cooking_time,instructions,author_id
Борщ классический,"Традиционный украинский борщ с мясом, свеклой и капустой",30,90,"1. Сварить бульон из говядины.\n2. Обжарить лук, морковь и свеклу с томатной пастой.\n3. Добавить капусту и картофель в бульон.\n4. Добавить зажарку и варить до готовности.\n5. Подавать со сметаной и зеленью.",user1
Оливье,"Классический салат для праздничного стола",45,0,"1. Отварить картофель, морковь и яйца.\n2. Нарезать кубиками картофель, морковь, огурцы, яйца и колбасу.\n3. Добавить горошек.\n4. Заправить майонезом и перемешать.\n5. Охладить перед подачей.",user1
Цезарь с курицей,"Популярный салат с куриным филе, сыром и гренками",20,15,"1. Обжарить куриное филе до готовности.\n2. Приготовить гренки из белого хлеба.\n3. Нарезать салат, помидоры и курицу.\n4. Приготовить соус из майонеза, чеснока и лимонного сока.\n5. Смешать все ингредиенты, добавить сыр и гренки.",chef
Паста Карбонара,"Итальянская паста с беконом и сливочным соусом",10,15,"1. Отварить спагетти до состояния аль денте.\n2. Обжарить нарезанный бекон до хрустящей корочки.\n3. Смешать яйца, тертый сыр и сливки.\n4. Смешать пасту с беконом и соусом, прогреть.\n5. Подавать горячим, посыпав черным перцем.",chef
Пельмени домашние,"Традиционное русское блюдо с мясной начинкой",60,15,"1. Приготовить тесто из муки, яиц и воды.\n2. Сделать фарш из говядины и свинины, добавить лук, соль и перец.\n3. Раскатать тесто, вырезать кружочки, положить начинку.\n4. Слепить пельмени.\n5. Варить в подсоленной воде 5-7 минут.\n6. Подавать со сметаной.",user1
Плов с говядиной,"Ароматный узбекский плов с говядиной и специями",30,90,"1. Обжарить нарезанную говядину до корочки.\n2. Добавить нарезанный лук и морковь, обжарить.\n3. Добавить специи: зиру, барбарис, куркуму.\n4. Всыпать промытый рис, залить водой.\n5. Готовить на медленном огне до готовности риса.",chef
Блины,"Тонкие русские блины на молоке",15,30,"1. Смешать муку, яйца, молоко, сахар и соль.\n2. Добавить растительное масло в тесто.\n3. Выпекать на разогретой сковороде с двух сторон.\n4. Подавать с начинкой по выбору.",user1
Шарлотка с яблоками,"Простой и вкусный яблочный пирог",20,45,"1. Взбить яйца с сахаром.\n2. Добавить муку и разрыхлитель, перемешать.\n3. Выложить нарезанные яблоки в форму.\n4. Залить тестом и выпекать при 180°C около 45 минут.",chef
Греческий салат,"Свежий овощной салат с сыром фета",15,0,"1. Нарезать помидоры, огурцы, перец и красный лук.\n2. Добавить маслины и нарезанный кубиками сыр фета.\n3. Заправить оливковым маслом, лимонным соком, солью и орегано.",user1
Картофельное пюре,"Классический гарнир",10,20,"1. Очистить и отварить картофель до мягкости.\n2. Слить воду и размять картофель.\n3. Добавить теплое молоко, сливочное масло, соль.\n4. Взбить до получения однородной массы.",chef
Котлеты куриные,"Сочные котлеты из куриного фарша",20,15,"1. Смешать куриный фарш с луком, яйцом, хлебом, замоченным в молоке.\n2. Добавить соль, перец и специи.\n3. Сформировать котлеты и обвалять в панировочных сухарях.\n4. Обжарить до золотистой корочки с обеих сторон.",user1
Суп-пюре из тыквы,"Нежный кремовый суп",20,30,"1. Обжарить лук и чеснок.\n2. Добавить нарезанную тыкву и картофель, залить бульоном.\n3. Варить до мягкости овощей.\n4. Взбить блендером до однородной массы.\n5. Добавить сливки, соль и перец.",chef
Рататуй,"Французское овощное рагу",25,40,"1. Нарезать баклажаны, кабачки, перец и помидоры.\n2. Обжарить лук и чеснок.\n3. Добавить нарезанные овощи, посолить, поперчить.\n4. Тушить на медленном огне до мягкости.\n5. Подавать, посыпав свежей зеленью.",chef
Лазанья,"Итальянское многослойное блюдо с соусом и сыром",45,60,"1. Приготовить соус болоньезе из фарша, лука, моркови и томатной пасты.\n2. Приготовить соус бешамель из масла, муки и молока.\n3. Выложить слоями листы лазаньи, соусы и сыр.\n4. Запекать при 180°C около 45 минут.",chef
Куриный суп с лапшой,"Легкий и питательный суп на курином бульоне",20,40,"1. Сварить бульон из курицы.\n2. Добавить нарезанные морковь, лук и сельдерей.\n3. Добавить лапшу и варить до готовности.\n4. Посолить, поперчить и добавить зелень перед подачей.",user1
Гуляш из говядины,"Венгерское блюдо из тушеной говядины с подливой",30,120,"1. Нарезать говядину кубиками и обжарить до корочки.\n2. Добавить нарезанный лук и обжарить.\n3. Добавить томатную пасту, паприку, соль и перец.\n4. Залить водой и тушить до мягкости мяса.\n5. Подавать с гарниром.",chef
Творожная запеканка,"Нежное десертное блюдо из творога",15,45,"1. Смешать творог, яйца, сахар и ванильный сахар.\n2. Добавить манную крупу или муку, изюм.\n3. Выложить в форму и выпекать при 180°C около 40 минут.\n4. Подавать со сметаной или вареньем.",user1
Винегрет,"Традиционный русский салат из вареных овощей",30,0,"1. Отварить свеклу, морковь и картофель, остудить.\n2. Нарезать овощи, добавить нарезанные соленые огурцы и квашеную капусту.\n3. Заправить растительным маслом, посолить.\n4. Перемешать и дать настояться.",user1
Фаршированные перцы,"Перцы, фаршированные мясом и рисом",30,60,"1. Отварить рис до полуготовности.\n2. Смешать рис с фаршем, луком, морковью, специями.\n3. Удалить у перцев плодоножки и семена, заполнить фаршем.\n4. Запекать в томатном соусе при 180°C около 50 минут.",chef
Драники,"Картофельные оладьи по-белорусски",20,20,"1. Натереть картофель на мелкой терке, отжать.\n2. Добавить яйцо, соль, перец, муку.\n3. Жарить ложкой на разогретой сковороде до золотистой корочки.\n4. Подавать со сметаной.",user1
